Carangoides armatus
Carangoides bajad
Carangoides equula
Carangoides malabaricus
Carangoides plagiotaenia
Caranx crysos
Caranx ignobilis
Caranx melampygus
Caranx tille
Carapus bermudensis
Carcharhinus acronotus
Carcharhinus albimarginatus
Carcharhinus amblyrhynchoides
Carcharhinus amblyrhynchos
Carcharhinus amboinensis
Carcharhinus brachyurus
Carcharhinus brevipinna
Carcharhinus falciformis
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus macloti
Carcharhinus melanopterus
Carcharhinus obscurus
Carcharhinus perezii
Carcharhinus plumbeus
Carcharhinus sorrah
Carcharhinus tjutjot
Carcharias taurus
Carcharodon carcharias
Careproctus colletti
Careproctus cypselurus
Careproctus marginatus
Careproctus roseofuscus
Carinotetraodon lorteti
Carinotetraodon salivator
Carinotetraodon travancoricus
Caristius groenlandicus
Caristius macropus
Cataetyx rubrirostris
Caulophryne jordani
Caulophryne pelagica
Centrobranchus choerocephalus
Centrolabrus exoletus
Centropyge acanthops
Centropyge aurantia
Centropyge bispinosa
Centropyge deborae
Centropyge eibli
Centropyge flavicauda
Centropyge flavissima
Centropyge heraldi
Centropyge interrupta
Centropyge joculator
Centropyge loricula
Centropyge multicolor
Centropyge nox
Centropyge venusta
Centropyge vrolikii
Centropyge woodheadi
Cephalopholis argus
Cephalopholis boenak
Cephalopholis leopardus
Cephalopholis miniata
Cephalopholis sexmaculata
Cephalopholis sonnerati
Cephalopholis spiloparaea
Cephalopholis urodeta
Cephaloscyllium fasciatum
Cephaloscyllium umbratile
Cepola schlegelii
Ceratias uranoscopus
Ceratoscopelus maderensis
Cetomimus sp.
Cetonurus globiceps
Cetorhinus maximus
Cetostoma regani
Chaenogobius annularis
Chaenogobius gulosus
Chaenomugil proboscideus
Chaenophryne melanorhabdus
Chaetodermis penicilligera
Chaetodermis penicilligerus
Chaetodon auriga
Chaetodon auripes
Chaetodon modestus
Chaetodon nippon
Chaetodon octofasciatus
Chaetodon speculum
Chaetodontoplus conspicillatus
Chaetodontoplus mesoleucus
Chaetodontoplus poliourus
Chaetodontoplus septentrionalis
Chaetodon wiebeli
Chaeturichthys stigmatias
Champsodon cf.
Chanos chanos
Chascanopsetta lugubris
Chauliodus sloani
Chaunax abei
Chaunax pictus
Chaunax tosaensis
Cheilinus fasciatus
Cheilinus oxycephalus
Cheilinus trilobatus
Cheilinus undulatus
Cheilio inermis
Cheilodipterus quinquelineatus
Cheilopogon agoo
Cheilopogon arcticeps
Cheilopogon atrisignis
Cheilopogon cyanopterus
Cheilopogon doederleinii
